code_id,code_name,first_appearance,evolution_notes,frequency,interview_progression,saturation_point
INST_006,Cross-Pollination/Sharing,Interview 004,Identified through global analysis,3,"Interview 004, Interview 010, Interview 011",Interview 014
INST_007,AI Product Manager Role,Interview 007,Identified through global analysis,1,Interview 007,Interview 014
FUT_001,AI Job Displacement,Interview 001,Identified through global analysis,3,"Interview 001, Interview 002, Interview 004",Interview 014
FUT_002,AI Role Transformation,Interview 012,Identified through global analysis,2,"Interview 012, Interview 018",Interview 014
FUT_003,Red Queen Scenario,Interview 001,Identified through global analysis,1,Interview 001,Interview 014
FUT_004,New AI Product Models,Interview 018,Identified through global analysis,1,Interview 018,Interview 014
AI_APPLICATIONS,AI Applications,Interview 001,Identified through global analysis,18,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 015, Interview 016, Interview 017, Interview 018",Interview 014
CHALLENGES_AI_ADOPTION,Challenges of AI Adoption,Interview 001,Identified through global analysis,18,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 015, Interview 016, Interview 017, Interview 018",Interview 014
BENEFITS_AI_ADOPTION,Benefits of AI Adoption,Interview 001,Identified through global analysis,18,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 015, Interview 016, Interview 017, Interview 018",Interview 014
AI_RESEARCH_QUALITY,AI and Research Quality,Interview 001,Identified through global analysis,18,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 015, Interview 016, Interview 017, Interview 018",Interview 014
INSTITUTIONAL_STRATEGY,Institutional Strategy & Support,Interview 002,Identified through global analysis,18,"Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 015, Interview 016, Interview 017, Interview 018",Interview 014
FUTURE_IMPACT_AI,Future Impact of AI,Interview 001,Identified through global analysis,18,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 015, Interview 016, Interview 017, Interview 018",Interview 014
