code_id,name,definition,frequency,first_appearance,theme_id,parent_code_id,hierarchy_level
INST_004,  AI Incentive Structures,The need for incentive structures to promote AI adoption and reward its effective use.,2,Interview 007,THEME_005,INSTITUTIONAL_STRATEGY,1
INST_005,  AI Tool Budget,The idea of allocating a dedicated budget or stipend for researchers to acquire AI tools.,1,Interview 012,THEME_005,INSTITUTIONAL_STRATEGY,1
INST_006,  Cross-Pollination/Sharing,The need for cross-divisional or cross-unit collaboration and sharing of AI best practices.,3,Interview 004,THEME_005,INSTITUTIONAL_STRATEGY,1
INST_007,  AI Product Manager Role,The suggestion for a dedicated 'product manager' role to bridge researchers and AI developers.,1,Interview 007,THEME_005,INSTITUTIONAL_STRATEGY,1
AI_APP_001_001,    AI Transcription,Using AI for transcribing audio/video recordings.,5,Interview 001,THEME_001,AI_APP_001,2
AI_APP_001_002,    AI Coding,"Using AI for coding qualitative data (e.g., interview transcripts, open-ended survey responses).",10,Interview 001,THEME_001,AI_APP_001,2
AI_APP_001_003,    AI Theme Generation,Using AI to generate themes or patterns from qualitative data.,6,Interview 001,THEME_001,AI_APP_001,2
AI_APP_001_004,    AI De-identification,Using AI for de-identification of sensitive data in qualitative transcripts.,3,Interview 004,THEME_001,AI_APP_001,2
AI_APP_002_001,    AI Data Wrangling,"Using AI to assist with data wrangling, cleaning, and preparation.",5,Interview 003,THEME_001,AI_APP_002,2
AI_APP_002_002,    AI Model Building,Using AI to assist with building or optimizing statistical and simulation models.,4,Interview 003,THEME_001,AI_APP_002,2
AI_APP_002_003,    AI Code Generation,"Using AI for generating or debugging programming code (e.g., Python, R, Stata).",6,Interview 003,THEME_001,AI_APP_002,2
AI_APP_003_001,    AI Search Strategy,Using AI to develop search strategies or identify relevant documents.,5,Interview 001,THEME_001,AI_APP_003,2
AI_APP_003_002,    AI Document Extraction,"Using AI to extract specific information (e.g., numbers, parameters, facts) from documents.",6,Interview 003,THEME_001,AI_APP_003,2
AI_APP_003_003,    AI Literature Synthesis,Using AI to summarize or synthesize findings from multiple literature sources.,10,Interview 001,THEME_001,AI_APP_003,2
AI_APP_004_001,    AI Outline Generation (Proposals),Using AI to generate outlines or structures for proposals.,1,Interview 018,THEME_001,AI_APP_004,2
AI_APP_004_002,    AI Content Drafting (Proposals),"Using AI to draft content for proposal sections (e.g., executive summaries, boilerplate).",3,Interview 005,THEME_001,AI_APP_004,2
AI_APP_004_003,    AI Partner Identification,Using AI to identify potential partners for proposals or projects.,3,Interview 001,THEME_001,AI_APP_004,2
AI_APP_005_001,    AI Scenario Generation (Wargaming),Using AI to generate or improve scenarios for wargames.,2,Interview 007,THEME_001,AI_APP_005,2
AI_APP_005_002,    AI Adjudication/Player Roles (Wargaming),Using AI to assist with adjudication or player roles in wargames.,2,Interview 010,THEME_001,AI_APP_005,2
AI_APP_006_001,    AI Content Adaptation (Dissemination),"Using AI to summarize reports or adapt content for different audiences (e.g., podcasts, lay terms).",3,Interview 007,THEME_001,AI_APP_006,2
AI_APP_006_002,    AI Formatting/Compliance,"Using AI for formatting reports or ensuring compliance (e.g., 508, style guides).",3,Interview 007,THEME_001,AI_APP_006,2
AI_APP_007_001,    AI Timeline Management,"Using AI to manage project timelines or critical paths (e.g., Gantt charts, IRB processes).",1,Interview 003,THEME_001,AI_APP_007,2
AI_APP_007_002,    AI Meeting Minutes,Using AI to generate meeting minutes or action items.,3,Interview 003,THEME_001,AI_APP_007,2
AI_APP_008_001,    AI Question Formulation (Forecasting),Using AI to formulate forecastable questions or identify trends.,2,Interview 007,THEME_001,AI_APP_008,2
AI_APP_008_002,    AI Forecaster Modeling,Using AI to model or train on human forecaster behavior.,1,Interview 017,THEME_001,AI_APP_008,2
CHAL_001_001,    AI Nuance/Context Loss,"AI's inability to capture or understand nuance, context, or subtleties in data.",6,Interview 001,THEME_002,CHAL_001,2
CHAL_001_002,    AI Hallucination,"AI generating false or fabricated information, especially references.",5,Interview 001,THEME_002,CHAL_001,2
CHAL_002_001,    AI & Classified/CUI Data,Difficulty using AI tools with classified or CUI (Controlled Unclassified Information) data.,4,Interview 003,THEME_002,CHAL_002,2
CHAL_002_002,    Data Fragmentation/Lakes,Challenges related to fragmented data storage and lack of integrated 'data lakes' at Rand.,2,Interview 012,THEME_002,CHAL_002,2
CHAL_005_001,    AI & Bias/IP,Concerns about AI inadvertently taking intellectual property or perpetuating existing biases.,2,Interview 005,THEME_002,CHAL_005,2
QUAL_001_001,    AI Validation Standards,The need for validation and clear standards for AI-generated research outputs.,6,Interview 001,THEME_004,QUAL_001,2
