code_id,code_name,first_appearance,evolution_notes,frequency,interview_progression,saturation_point
C1.4.3,AI Report Generation/Editing,Interview 003,Identified through global analysis,7,"Interview 003, Interview 007, Interview 010, Interview 011, Interview 013, Interview 015, Interview 016",Interview 014
C1.4.4,AI Dissemination/Communication,Interview 009,Identified through global analysis,3,"Interview 009, Interview 010, Interview 011",Interview 014
C1.4.5,AI Wargaming/TTX Augmentation,Interview 002,Identified through global analysis,4,"Interview 002, Interview 007, Interview 010, Interview 011",Interview 014
C1.4.6,AI Forecasting,Interview 002,Identified through global analysis,3,"Interview 002, Interview 007, Interview 017",Interview 014
C1.4.7,AI Survey Design,Interview 009,Identified through global analysis,3,"Interview 009, Interview 014, Interview 016",Interview 014
C1.4.8,AI Partner Identification,Interview 001,Identified through global analysis,2,"Interview 001, Interview 016",Interview 014
C1.4.9,AI 508 Compliance,Interview 016,Identified through global analysis,1,Interview 016,Interview 014
C2.1,Accuracy and Trust,Interview 001,Identified through global analysis,14,"Interview 001, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 016",Interview 014
C2.1.1,Hallucinations,Interview 001,Identified through global analysis,8,"Interview 001, Interview 004, Interview 005, Interview 008, Interview 009, Interview 010, Interview 011, Interview 016",Interview 014
C2.1.2,Nuance and Context Loss,Interview 001,Identified through global analysis,7,"Interview 001, Interview 004, Interview 005, Interview 008, Interview 009, Interview 012, Interview 013",Interview 014
C2.1.3,Bias in AI,Interview 008,Identified through global analysis,2,"Interview 008, Interview 014",Interview 014
C2.1.4,Over-reliance/Blind Trust,Interview 005,Identified through global analysis,5,"Interview 005, Interview 008, Interview 013, Interview 016, Interview 018",Interview 014
C2.2,Ethical and Methodological Concerns,Interview 003,Identified through global analysis,10,"Interview 003, Interview 004, Interview 005, Interview 006, Interview 008, Interview 009, Interview 012, Interview 013, Interview 014, Interview 018",Interview 014
C2.2.1,Data Privacy/CUI,Interview 004,Identified through global analysis,6,"Interview 004, Interview 006, Interview 012, Interview 013, Interview 014, Interview 015",Interview 014
C2.2.2,Consent for Data Use,Interview 014,Identified through global analysis,1,Interview 014,Interview 014
C2.2.3,Impact on Researcher Skill Development,Interview 002,Identified through global analysis,4,"Interview 002, Interview 005, Interview 008, Interview 018",Interview 014
C2.2.4,Loss of Data Intimacy,Interview 001,Identified through global analysis,4,"Interview 001, Interview 013, Interview 014, Interview 018",Interview 014
C2.2.5,Publication Validity,Interview 009,Identified through global analysis,2,"Interview 009, Interview 014",Interview 014
C2.3,Institutional Barriers,Interview 002,Identified through global analysis,12,"Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 009, Interview 010, Interview 011, Interview 012, Interview 015, Interview 018",Interview 014
C2.3.1,Outdated Internal Tools,Interview 003,Identified through global analysis,7,"Interview 003, Interview 005, Interview 006, Interview 007, Interview 010, Interview 011, Interview 015",Interview 014
C2.3.2,Lack of Clear Guidance,Interview 002,Identified through global analysis,8,"Interview 002, Interview 004, Interview 005, Interview 008, Interview 012, Interview 014, Interview 016, Interview 018",Interview 014
C2.3.3,Data Silos/Fragmentation,Interview 012,Identified through global analysis,3,"Interview 012, Interview 013, Interview 018",Interview 014
C2.3.4,Cost/Resource Constraints,Interview 001,Identified through global analysis,4,"Interview 001, Interview 009, Interview 012, Interview 018",Interview 014
C2.3.5,Classified Environment Limitations,Interview 003,Identified through global analysis,4,"Interview 003, Interview 004, Interview 010, Interview 011",Interview 014
C3.1,Time Savings,Interview 001,Identified through global analysis,14,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 016, Interview 018",Interview 014
C3.2,Capacity Augmentation,Interview 001,Identified through global analysis,7,"Interview 001, Interview 004, Interview 006, Interview 012, Interview 017, Interview 018",Interview 014
C3.3,New Research Avenues,Interview 006,Identified through global analysis,5,"Interview 006, Interview 007, Interview 009, Interview 014, Interview 018",Interview 014
C3.4,Enhanced Quality,Interview 003,Identified through global analysis,5,"Interview 003, Interview 004, Interview 012, Interview 016, Interview 018",Interview 014
C4.1,Training and Education,Interview 005,Identified through global analysis,6,"Interview 005, Interview 008, Interview 009, Interview 014, Interview 016, Interview 018",Interview 014
C4.2,Incentive Structures,Interview 007,Identified through global analysis,3,"Interview 007, Interview 012, Interview 018",Interview 014
C4.3,Build vs. Buy vs. License,Interview 007,Identified through global analysis,3,"Interview 007, Interview 012, Interview 017",Interview 014
C4.4,Strategic Roadmap,Interview 012,Identified through global analysis,1,Interview 012,Interview 014
C4.5,Skunkworks/Experimentation,Interview 016,Identified through global analysis,2,"Interview 016, Interview 018",Interview 014
C5.1,Data Wrangling,Interview 004,Identified through global analysis,5,"Interview 004, Interview 005, Interview 012, Interview 013, Interview 018",Interview 014
C5.2,Data Lakes,Interview 012,Identified through global analysis,2,"Interview 012, Interview 018",Interview 014
C5.3,Data Standardization,Interview 002,Identified through global analysis,3,"Interview 002, Interview 006, Interview 012",Interview 014
C5.4,Data Access,Interview 001,Identified through global analysis,5,"Interview 001, Interview 006, Interview 012, Interview 013, Interview 018",Interview 014
C1,AI Applications,Interview 001,Identified through global analysis,18,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 015, Interview 016, Interview 017, Interview 018",Interview 014
C2,Challenges and Risks,Interview 001,Identified through global analysis,18,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 015, Interview 016, Interview 017, Interview 018",Interview 014
C3,Opportunities and Benefits,Interview 001,Identified through global analysis,18,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 015, Interview 016, Interview 017, Interview 018",Interview 014
C4,Institutional Adoption,Interview 002,Identified through global analysis,14,"Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 014, Interview 016, Interview 018",Interview 014
C5,Data Management,Interview 001,Identified through global analysis,10,"Interview 001, Interview 004, Interview 005, Interview 006, Interview 012, Interview 013, Interview 014, Interview 015, Interview 016, Interview 018",Interview 014
