quote_id,text,speaker,interview_id,interview_name,line_number,code_ids,theme_ids
Q013,"I feel like sometimes like that's like a very human thing to do is say there's like a parallel study area that is this, that you're not gonna get by searching, like what you would normally put in your search terms. But it is very aligned and relevant. But you might be able to see it if you were to look at like the clicks and what they publish and what words that those you know like. I don't know. It feels like there's an investigative component to this, especially important as we're trying to study more complex questions like if you were to say like, can you do a literature review on how to deal with the cascading complexities related to global risks? The to do that would be a huge undertaking, right 'cause you to you search in certain areas. Do you search overall? Do you just search global risk and complexities like so? I think with like within the literature review it depends on. What? Your like to really, I think what AI could do is help us do a better job at the less obvious tasks relating to searching that would allow for more complex like cross disciplinary and like digging into deeper wells and pockets to find insights that are relevant.","Joie Acosta, Psychologist",INT_001,,0,CODE_007;CODE_008,THEME_003
Q014,"Something that I've been thinking about that would be super helpful if it was possible for researchers is the idea like we have our ALP panels. You know of people and something I was thinking about would be if we could take those panels and almost for like each person develop an AI agent of that person program it with like personality traits, you know, or maybe even just make it like if we could just basically create virtual populations in essence. And I thought of ALP because we could actually do that and kind of validate against, you know, like people like a population that we actually have a people if we. Like assign an agent an AI agent to each participant in the ALP panel. Yeah, exactly. And then once you have those agents, if you basically like you know, gave them a survey similar to what we've done in ALP, would they respond in the same way that we might expect given like certain characteristics and backgrounds of, you know, people like each agent would be? Programmed with like socio demographic characteristics or personality characteristics, etcetera. And if there was something like something virtual like that, it's feel like as researchers would be like this, you know, kind of like a place like a sandbox to play in before we go out and and maybe test tools in the real world.","Ramya Chari, Jack of all trades (Environmental Health/CBPR)",INT_001,,0,CODE_010;CODE_011,THEME_003
Q015,"I think something that I'm I'm working through right now is on the dissemination side of the House using AI to develop like interesting ways to disseminate our research like podcasts, for example. I've done this with one of couple of my reports. One of Heather's, I think 2 where I've just taken it and put it into like an AI bot. There's this one called notebook. LLM I think and you can go in and submit a report and then it will just create. It's a podcast for you using like two perfectly sounding human beings that are not that will go through and just kind of discuss your report like in a podcast fashion and like, summarize it in an interesting kind of dialogue.","Lisa Saum-Manning, ISDP Researcher",INT_010,,0,CODE_003,THEME_003
Q016,"I just also just comment on the fact that like I thought I couldn't use any of these softwares on ran computers like I thought Ranchat was the only thing I was allowed to use. So like even just clearer definitions of what is allowed and what isn't allowed. Like I'd be happy to invest in a lot of these tools and use them. But like I don't know what's allowed in my ran computer. So like I've had like software on there that like was not supposed to be on there. And so like, I don't know what I'm allowed to have and. I'm a risk averse person by nature, so like I don't wanna install software. Or do something that like Rand is not gonna be happy with me using so like just even guidance would be useful.","Jonathan Cantor, Health Policy Researcher",INT_012,,0,,THEME_004
Q017,"I put 99% of the effort on applying best of breed from the private sector and bringing it to Rand and not trying to like build our own cause a we're not particularly good at software development, B, even if we do build it, who's gonna main? It and upkeep it and keep it stateoftheart over time. I don't know. There's just so much more to gain by just bringing in the external tools. That. There's, you know, ability to vote on this topic. I would. I would do that if there's a so much happening outside of Rand on this. We could be much more productive and efficient if we had just doesn't even need to be state-of-the-art, but this is where like relatively early adopters.","Jim Mitre, GER leadership",INT_007,,0,,THEME_004
Q018,"I think we have to spend as much time identifying the AI application and use cases as we are about the political economy of AI adoption. And ultimately Rand is an organization where the principal incentive structure is time on project. And coverage and until that has a bearing until AIUS has a bearing on that. You're not gonna see enterprise adoption. And look, I'm conflicted a little bit because you know. A adoption only at enterprise scale only makes sense if you're confident that it's actually generating, you know. Better insights, more efficiently if it's just creating slop, then you, you know, you don't incentivize it.","Matan Chorev, GER leadership",INT_007,,0,,THEME_004
Q019,"I think we need to do a lot more and I think we need to be a lot clearer about where it can be used and like what our stance is on its role. Like there's a lot of encouragement to use it right now. But I went to and. This is nothing against any of them. I really enjoyed this training, but there was the everyday AI training and I left there feeling. Everybody in that room was gonna just go and. Enter all of their interview transcripts into AI and just see what comes out of it. But there was no like. There's no conversation around like what are the HSBC approvals? What are the I don't know. Like what are the? How do you prompt it to do this? Like all of the different. I don't all the different considerations. I think we're missing from that conversation and that wasn't what that conversation was meant to be.","Alice Huguet, Mixed Methods Researcher",INT_014,,0,,THEME_004
Q020,"I wish I had a notebook LM available to me. I could pay for it. The and and I am paying for for cursor. But I agree it should be arans standard. I'm I'm paying for both. I. I pay. I actually I think I spent about 100 and my girlfriend was mad at me yesterday because she looked at our bills and I they like pay like $100 in AI tools. Because ran doesn't like about 100. A month. Yeah, a month. I don't think ran provides us enough. Flexibility in that also we haven't talked about the high side, which I think is a significantly important part of this, but I don't maybe that's not this is not the place.","Brandon De Bruhl, Senior Technical Analyst",INT_012,,0,,THEME_004
Q021,"So the methods that some of the common methods that I heard are one everyone's doing reviews of some sort or another. And then. Qualitative interviews, focus groups and things like that seem prominent. Maybe that's a good place to start. And what I want to do is just take a couple of these methods and walk through them and get your sense of the some of the process that's involved in that and where you see the long pull in the tent and then. Any experience you might have using the tools available at rand to do those things or not, which is fine too. So just starting out with, you know, interviews and focus groups.","Todd Helmus, Qualitative Researcher",INT_001,,0,CODE_004;CODE_008,THEME_005
Q022,"It depends. Yeah. Well, it really depends. We don't have like one approach to mix methods, but there are a lot of different designs, so you could do parallel mixed methods where the design really is like we're just gonna kind of go our separate path clash qualitative data, collect quantitative data at the end of this. We'll kind of discuss how it fits together. So that's one approach. There's more embedded designs where there are more like set time points at which you wanna check in with one another. So if I'm designing a mixed method study and I'm reading. Side of it, which would be where my work typically falls. Having regular meetings with whoever's leading the quantitative side to talk about like what we're learning along the way, so that might inform their own tool development and vice versa, so that it's speaking more to one another.","Alice Huguet, Mixed Methods Researcher",INT_014,,0,,THEME_005
Q023,"Finding the right people and recruiting them. Yeah, definitely like getting getting the sample, especially if they're not spoon fed to you. Like often times we get on the military side where we get a list of contacts from the sponsor to call. Is there a particular like example that you're thinking of, of a challenging population of reach? I mean in healthcare, it's hard to get providers. Oh yeah, physicians can be a nightmare. Yeah. And then second to that would be patients.","Joie Acosta, Psychologist",INT_001,,0,CODE_006,THEME_005
Q024,"I don't know that the methods are high impact. The topics are high impact and the questions that we ask are high impact. And then the methods might be relatively. Straightforward. Not always, but. I think it's like, yeah, it's the questions and how we approach a question, how we think about it, how it brings together. Different perspectives.","Katherine Watkins, Clinician",INT_003,,0,,THEME_005
Q025,"So we develop cost estimates for things that don't yet exist. Sometimes that's one line of cost work that we do. There's another line of work that we do in the cost world where we. Try and understand why costs have changed historically. So that's typically using historical data and trying to pull the costs apart. So you kind of understand what was causing outcomes, cost outcomes or other outcomes to occur that could be driven by cost. Then there's like cost benefit analysis, which is a little bit different than those two things. Cost benefit analysis. You might have a cost estimate as part of it, but. You're adding in other factors that would inform a decision on like what what to do, what what sort of investment to make in the future, I don't know. Those are three lines that I kind of combined others.","Thomas Light, Economist",INT_013,,0,,THEME_005
